,cikname,investor_rank
0,FRED ALGER MANAGEMENT INC,large_investor
10840,AMERICAN INTERNATIONAL GROUP INC,large_investor
187999,JPMORGAN CHASE & CO,large_investor
255092,US BANCORP \DE\,large_investor
402104,M&T BANK CORP,large_investor
449388,BANK OF AMERICA CORP /DE/,large_investor
654360,WELLS FARGO & COMPANY/MN,large_investor
732634,NORTHERN TRUST CORP,large_investor
985248,STATE STREET CORP,large_investor
1201230,VANGUARD GROUP INC,large_investor
1448622,BARCLAYS PLC,large_investor
1585688,DIMENSIONAL FUND ADVISORS LP,large_investor
1692398,PNC FINANCIAL SERVICES GROUP INC,large_investor
1809374,RUSSELL FRANK CO/,large_investor
1939773,LORD ABBETT & CO LLC,large_investor
1975852,METROPOLITAN LIFE INSURANCE CO/NY,large_investor
2082594,AMERICAN CENTURY COMPANIES INC,large_investor
2139338,LEGAL & GENERAL GROUP PLC,large_investor
2191733,TEACHER RETIREMENT SYSTEM OF TEXAS,large_investor
2288737,MEEDER ASSET MANAGEMENT INC,medium_investor
2304545,NEW YORK STATE COMMON RETIREMENT FUND,large_investor
2407961,AMERIPRISE FINANCIAL INC,large_investor
2538795,STRS OHIO,large_investor
2646909,CREDIT SUISSE AG/,large_investor
2739301,WALL STREET ASSOCIATES,large_investor
2754286,CITIGROUP INC,large_investor
2959985,RUDMAN ERROL M,medium_investor
2961880,TURNER INVESTMENTS LP,medium_investor
2970057,PANAGORA ASSET MANAGEMENT INC,large_investor
3038205,TOCQUEVILLE ASSET MANAGEMENT LP,large_investor
3066138,SCHWAB CHARLES INVESTMENT MANAGEMENT INC,large_investor
3219782,KENNEDY CAPITAL MANAGEMENT INC,large_investor
3260728,GOLDMAN SACHS GROUP INC,large_investor
3396349,LOMBARDIA CAPITAL PARTNERS LLC,medium_investor
3401665,TIAA CREF INVESTMENT MANAGEMENT LLC,large_investor
3588521,MORGAN STANLEY,large_investor
3788832,IG INVESTMENT MANAGEMENT LTD,large_investor
3831526,BLAIR WILLIAM & CO/IL,large_investor
3883540,GILDER GAGNON HOWE & CO LLC,medium_investor
3892650,NICHOLAS CO INC /WI,medium_investor
3903065,ROYCE & ASSOCIATES LLC,large_investor
3957003,ROYCE & ASSOCIATES LP,medium_investor
3962711,BLACKROCK INSTITUTIONAL TRUST COMPANY NA,large_investor
4055936,INVESCO LTD,large_investor
4176285,HIGHBRIDGE CAPITAL MANAGEMENT LLC,large_investor
4226878,MACKENZIE FINANCIAL CORP,large_investor
4262488,TUDOR INVESTMENT CORP ET AL,large_investor
4296667,WOLVERINE TRADING LLC,medium_investor
4303920,BANK OF MONTREAL /CAN/,large_investor
4348438,MANUFACTURERS LIFE INSURANCE COMPANY THE,large_investor
4397363,GROUP ONE TRADING LP,large_investor
4422980,DF DENT & CO INC,medium_investor
4430718,NISA INVESTMENT ADVISORS LLC,medium_investor
4443199,OBERWEIS ASSET MANAGEMENT INC/,medium_investor
4453047,DRIEHAUS CAPITAL MANAGEMENT LLC,large_investor
4469703,TEACHERS ADVISORS INC,large_investor
4629957,TEACHERS ADVISORS LLC,medium_investor
4642827,DEUTSCHE BANK AG\,large_investor
4865607,WILLIAMS JONES & ASSOCIATES LLC,medium_investor
4872942,ROYAL BANK OF CANADA,large_investor
4945997,BLACKROCK GROUP LTD,large_investor
5027255,BLACKROCK FUND ADVISORS,large_investor
5126341,PALISADE CAPITAL MANAGEMENT LLC/NJ,large_investor
5142183,D E SHAW & CO INC,large_investor
5231214,DEERFIELD MANAGEMENT CO,medium_investor
5232366,BENNETT LAWRENCE MANAGEMENT L L C/NY,medium_investor
5236971,BAMCO INC /NY/,large_investor
5250467,RAIFF PARTNERS INC,medium_investor
5253024,LADENBURG THALMANN FINANCIAL SERVICES INC,medium_investor
5302281,RENAISSANCE TECHNOLOGIES LLC,large_investor
5406537,ATWOOD & PALMER INC,medium_investor
5410890,GREAT WEST LIFE ASSURANCE CO /CAN/,large_investor
5448241,WADDELL & REED FINANCIAL INC,large_investor
5474862,MARSICO CAPITAL MANAGEMENT LLC,medium_investor
5479682,AMERITAS INVESTMENT PARTNERS INC,medium_investor
5488544,PEMBROKE MANAGEMENT LTD,medium_investor
5489488,CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,large_investor
5621187,COMMONWEALTH OF PENNSYLVANIA PUBLIC SCHOOL EMPLS RETRMT SYS,large_investor
5715873,RAYMOND JAMES & ASSOCIATES,large_investor
5761194,JEFFERIES GROUP LLC,large_investor
5781554,RS INVESTMENT MANAGEMENT CO LLC,large_investor
5794684,BLACKROCK ADVISORS LLC,large_investor
5887667,FORMULA GROWTH LTD,medium_investor
5888224,NATIONWIDE FUND ADVISORS,large_investor
5970420,ELLINGTON MANAGEMENT GROUP LLC,medium_investor
