,date,total_graph_motif4,total_graph_motif5,total_graph_motif6,software_industry_motif4,software_industry_motif5,software_industry_motif6,oil_industry_motif4,oil_industry_motif5,oil_industry_motif6,real_estate_industry_motif4,real_estate_industry_motif5,real_estate_industry_motif6
0,1999-06-30,499,22,2,20,0,0,9,0,0,7,1,0
1,1999-09-30,666,80,18,48,2,0,5,3,0,2,0,0
2,1999-12-31,744,34,12,45,2,2,2,0,0,18,0,0
3,2000-03-31,373,2,12,12,0,4,2,0,0,10,0,2
4,2000-06-30,519,26,20,30,1,2,18,3,0,21,0,0
5,2000-09-30,450,10,0,3,0,0,6,0,0,1,0,0
6,2000-12-31,583,8,10,23,1,0,13,0,0,7,0,0
7,2001-03-31,812,6,6,49,1,4,4,0,0,20,0,0
8,2001-06-30,417,8,2,65,0,0,4,0,0,6,0,0
9,2001-09-30,623,3,4,49,0,0,9,0,0,14,0,0
10,2001-12-31,706,1,4,36,0,2,15,0,0,4,0,0
11,2002-03-31,857,1,6,70,0,0,1,0,0,8,0,0
12,2002-06-30,996,16,0,90,0,0,4,0,0,4,0,0
13,2002-09-30,1025,1,6,52,0,0,15,0,0,1,0,0
14,2002-12-31,376,9,0,20,0,0,3,0,0,1,0,0
15,2003-03-31,353,2,6,17,0,2,3,0,0,0,0,0
16,2003-06-30,210,8,0,26,2,0,5,0,0,3,0,0
17,2003-09-30,937,22,6,91,0,0,11,0,0,1,0,2
18,2003-12-31,708,123,4,49,3,0,14,4,0,14,3,0
19,2004-03-31,409,50,0,27,3,0,5,0,0,0,0,0
20,2004-06-30,375,43,6,56,4,2,8,1,0,6,0,0
21,2004-09-30,839,186,2,57,7,0,11,1,0,14,4,0
22,2004-12-31,477,2,0,18,0,0,21,0,0,2,0,0
23,2005-03-31,562,55,0,66,3,0,60,1,0,13,0,0
24,2005-06-30,398,78,16,18,6,0,32,3,0,9,0,2
25,2005-09-30,1691,16,4,144,9,0,33,0,0,14,0,0
26,2005-12-31,804,6,0,30,0,0,54,0,0,19,0,0
27,2006-03-31,1021,1,0,25,1,0,91,0,0,111,0,0
28,2006-06-30,1442,32,10,192,7,0,17,0,0,8,1,0
29,2006-09-30,558,7,14,36,0,0,10,0,0,4,0,2
30,2006-12-31,1258,5,22,34,0,2,24,0,0,25,0,0
31,2007-03-31,1132,0,20,35,0,0,31,0,0,11,0,0
32,2007-06-30,1719,21,10,40,0,0,73,1,0,42,0,0
33,2007-09-30,1894,13,12,75,0,0,55,0,0,8,0,0
34,2007-12-31,1895,22,10,59,1,0,41,0,0,41,0,0
35,2008-03-31,1128,0,26,89,0,0,4,0,0,76,0,0
36,2008-06-30,1382,23,22,92,1,2,27,0,0,53,0,2
37,2008-09-30,1232,1,16,28,0,2,84,0,0,40,0,8
38,2008-12-31,1183,224,34,28,5,0,43,14,0,114,3,2
39,2009-03-31,1277,1,16,40,0,2,121,1,0,59,0,0
40,2009-06-30,1141,2,14,83,0,0,45,0,2,86,0,0
41,2009-09-30,782,178,18,82,24,6,27,5,0,66,19,0
42,2009-12-31,963,174,6,76,10,2,23,6,0,20,4,0
43,2010-03-31,989,199,8,59,3,0,53,15,0,1,0,0
44,2010-06-30,1042,168,8,100,18,0,94,8,0,116,38,0
45,2010-09-30,538,198,4,75,24,0,56,15,0,7,5,0
46,2010-12-31,1285,0,12,68,0,0,83,0,0,49,0,0
47,2011-03-31,856,188,20,47,14,2,48,5,2,8,5,0
48,2011-06-30,1031,282,12,38,15,0,45,8,2,19,3,0
49,2011-09-30,1251,0,14,91,0,2,50,0,0,49,0,0
50,2011-12-31,1071,1,18,75,1,0,40,0,0,13,0,0
51,2012-03-31,837,0,34,47,0,0,30,0,2,15,0,0
52,2012-06-30,831,0,22,91,0,0,50,0,0,38,0,0
53,2012-09-30,1472,5,36,91,0,2,104,0,0,13,0,0
54,2012-12-31,1594,2,20,147,0,4,57,0,0,70,0,0
55,2013-03-31,1272,0,42,57,0,0,51,0,2,17,0,0
56,2013-06-30,1568,14,10,111,0,2,63,0,2,50,0,0
57,2013-09-30,891,1,22,61,0,2,32,0,2,58,0,0
58,2013-12-31,1398,1,24,122,0,0,60,0,0,84,0,0
59,2014-03-31,1062,0,32,68,0,4,65,0,0,60,0,2
60,2014-06-30,1505,3,18,118,0,2,63,0,0,127,0,0
61,2014-09-30,1138,1,18,49,0,2,98,0,0,57,0,0
62,2014-12-31,2141,266,24,93,14,4,117,9,2,85,8,0
63,2015-03-31,1656,2,42,100,1,4,283,0,0,33,0,2
64,2015-06-30,1552,3,58,44,0,8,119,0,0,74,0,0
65,2015-09-30,1706,308,28,93,21,6,121,19,2,50,6,0
66,2015-12-31,2303,526,34,137,37,8,148,39,2,77,20,0
67,2016-03-31,2391,464,48,157,37,2,199,44,6,95,25,2
68,2016-06-30,2223,328,58,133,23,2,85,27,0,85,8,6
69,2016-09-30,1668,2,80,87,0,6,78,0,2,46,0,4
70,2016-12-31,3358,5,90,194,1,4,233,0,4,105,0,0
71,2017-03-31,2115,0,112,129,0,8,175,0,0,72,0,6
72,2017-06-30,3040,2,86,195,0,18,225,1,2,107,0,10
73,2017-09-30,2212,0,72,99,0,14,205,0,0,97,0,2
