,date,total_graph_motif7,total_graph_motif8,software_industry_motif7,software_industry_motif8,oil_industry_motif7,oil_industry_motif8,real_estate_industry_motif7,real_estate_industry_motif8
0,1999-06-30,135331,169471,6711,8784,2179,2231,1701,1684
1,1999-09-30,113315,159286,7632,7744,1820,2258,910,1017
2,1999-12-31,115387,180274,6010,10802,1629,2144,846,1212
3,2000-03-31,141297,180689,9215,13586,1963,2291,741,1232
4,2000-06-30,128853,161678,11164,14584,1554,2697,718,1549
5,2000-09-30,133750,156724,10259,11437,1791,2672,1078,1136
6,2000-12-31,147916,189413,11243,14297,1410,2848,868,1870
7,2001-03-31,135906,223263,10544,20547,2342,3443,1323,2173
8,2001-06-30,98968,152585,9043,11240,1820,3500,978,1937
9,2001-09-30,90714,149692,7640,13416,1479,3473,852,1827
10,2001-12-31,119012,158133,11256,11588,1840,2517,683,1119
11,2002-03-31,79310,126312,3947,7704,1454,2108,1071,1479
12,2002-06-30,114101,137493,8141,11474,2660,2015,1319,2350
13,2002-09-30,98277,122765,7554,7435,1906,2306,1444,1288
14,2002-12-31,103819,144536,8612,10533,1695,2916,522,1600
15,2003-03-31,84285,142852,5400,9547,1687,2625,504,1368
16,2003-06-30,94740,104911,8143,9002,1697,2260,864,1768
17,2003-09-30,81732,123218,4510,6357,1132,2533,920,1246
18,2003-12-31,79177,155435,7036,11939,1173,3456,1155,2663
19,2004-03-31,86972,131420,4316,6865,1750,2915,1673,2156
20,2004-06-30,80213,120984,7060,9971,1800,2378,1276,1679
21,2004-09-30,61924,125312,4995,11296,1350,2764,997,2033
22,2004-12-31,84143,170163,7441,13236,2833,4359,2656,2351
23,2005-03-31,94041,158067,7830,14119,2833,5380,1750,2781
24,2005-06-30,85974,118785,6840,9192,2860,5203,2356,2666
25,2005-09-30,111411,175657,7393,12334,3748,7204,2446,2805
26,2005-12-31,97777,230697,6806,14351,3525,9459,1036,6110
27,2006-03-31,106333,223230,6784,12773,3570,9870,2461,5676
28,2006-06-30,114627,171033,7470,11406,4551,8652,2180,3011
29,2006-09-30,109108,134438,5859,8537,3387,6116,2376,1672
30,2006-12-31,119924,282735,7935,16294,4074,13473,2291,6103
31,2007-03-31,101660,199259,7765,13266,4541,9872,2290,5145
32,2007-06-30,148572,268138,8405,14851,6362,9309,3086,5202
33,2007-09-30,135524,243070,8396,13456,5059,9272,2742,5039
34,2007-12-31,146535,402570,8142,22128,4922,14871,3590,8532
35,2008-03-31,172219,256629,8996,16555,7816,10141,6980,6713
36,2008-06-30,162509,264588,8114,14936,11855,14095,5270,7192
37,2008-09-30,165401,237538,9639,13066,7412,14214,5305,7239
38,2008-12-31,155235,243168,10249,14327,5473,10998,6083,6832
39,2009-03-31,129323,175296,7441,11225,4471,11993,2801,6586
40,2009-06-30,140370,189808,9314,11402,8172,10404,4133,5720
41,2009-09-30,121256,183526,7770,12660,7443,9219,3937,5729
42,2009-12-31,102881,234237,7519,13849,4305,12227,4405,4737
43,2010-03-31,93058,231852,6349,12511,5065,14872,3018,5771
44,2010-06-30,106667,185867,7263,12782,5387,11625,4072,5649
45,2010-09-30,112783,146812,7757,12910,5322,9558,4025,2169
46,2010-12-31,107060,322689,7754,20310,5015,17380,3398,8559
47,2011-03-31,123169,244567,7583,15755,6657,15777,2694,5007
48,2011-06-30,140160,236417,9560,14473,8050,13187,2224,4571
49,2011-09-30,115671,224343,7382,13174,6502,11310,3301,6530
50,2011-12-31,132343,344921,9422,21507,6281,15963,3752,7087
51,2012-03-31,136328,257616,5210,10103,7496,12294,4805,4698
52,2012-06-30,128100,237573,8104,15527,7166,16224,4438,8535
53,2012-09-30,132394,212709,7341,11878,6425,10849,4848,5264
54,2012-12-31,153255,421007,7172,26136,7273,16584,6054,12173
55,2013-03-31,158840,329805,10571,19090,6834,16992,6732,8464
56,2013-06-30,193159,455738,11936,26181,7488,18065,6940,13102
57,2013-09-30,178232,346979,13974,19752,9268,14259,5221,9708
58,2013-12-31,196784,941883,10616,51111,8215,39485,5162,30189
59,2014-03-31,264124,509475,16471,25266,11798,20448,8901,14373
60,2014-06-30,255119,474587,12798,27638,12486,21512,8519,17065
61,2014-09-30,247449,445975,17160,23084,9520,20392,6639,14085
62,2014-12-31,324085,986193,19077,46463,16484,41385,9191,27360
63,2015-03-31,356292,709532,18353,37588,11934,30443,12387,20087
64,2015-06-30,336430,644556,18185,32652,11970,21143,12185,22529
65,2015-09-30,370998,633574,15314,31487,15483,18353,10229,20538
66,2015-12-31,428987,1043591,25379,56209,19704,26620,12695,28269
67,2016-03-31,492544,898677,28197,43568,14723,22368,15207,29320
68,2016-06-30,513672,795647,24770,40372,13968,20784,19502,24964
69,2016-09-30,524345,718365,30131,34195,14048,21127,17705,23796
70,2016-12-31,557493,1403135,24550,72615,18725,38276,18406,42824
71,2017-03-31,618653,1117609,34297,49769,15265,29420,18717,38903
72,2017-06-30,543748,1068986,31123,45393,13711,29264,17180,39235
73,2017-09-30,642567,949630,33149,48938,19539,29544,23448,34171
