,date,total_graph_motif9,total_graph_motif10,total_graph_motif11,total_graph_motif12,software_industry_motif9,software_industry_motif10,software_industry_motif11,software_industry_motif12,oil_industry_motif9,oil_industry_motif10,oil_industry_motif11,oil_industry_motif12,real_estate_industry_motif9,real_estate_industry_motif10,real_estate_industry_motif11,real_estate_industry_motif12
1970-01-01 00:00:00.000000000,1999-06-30,39167,50541,3489,3654,3829,5572,62,216,359,326,18,17,325,363,278,288
1970-01-01 00:00:00.000000001,1999-09-30,14073,22121,3286,3346,1928,1512,365,118,456,596,9,14,31,16,203,259
1970-01-01 00:00:00.000000002,1999-12-31,44403,73676,3200,3453,2175,3546,47,61,602,743,11,15,348,347,119,114
1970-01-01 00:00:00.000000003,2000-03-31,73496,91387,2452,3224,5672,7607,143,295,772,774,0,23,253,243,225,304
1970-01-01 00:00:00.000000004,2000-06-30,54702,69085,2635,2977,6340,9236,128,174,406,909,0,26,276,89,92,286
1970-01-01 00:00:00.000000005,2000-09-30,33200,47885,2441,2905,2576,3391,30,185,1073,1243,18,36,185,285,276,308
1970-01-01 00:00:00.000000006,2000-12-31,58530,76740,3358,3798,6396,6273,330,268,570,1521,17,14,165,276,224,507
1970-01-01 00:00:00.000000007,2001-03-31,45929,78690,2672,4501,5476,10072,381,207,1353,2015,22,14,42,29,245,542
1970-01-01 00:00:00.000000008,2001-06-30,23870,37686,2306,2897,5498,5684,25,115,908,1699,18,13,28,10,209,357
1970-01-01 00:00:00.000000009,2001-09-30,28511,48859,2273,3376,5279,6881,167,143,723,1713,3,13,52,61,244,450
1970-01-01 00:00:00.000000010,2001-12-31,30805,39748,2254,4007,3091,4164,103,291,1078,1315,13,30,110,42,93,163
1970-01-01 00:00:00.000000011,2002-03-31,13866,23597,2088,3064,713,2516,41,162,152,130,0,34,19,11,222,191
1970-01-01 00:00:00.000000012,2002-06-30,22481,31088,1971,3144,4475,6433,126,75,45,30,0,36,0,22,153,329
1970-01-01 00:00:00.000000013,2002-09-30,58128,63922,2308,2618,5944,4323,118,49,968,1246,0,11,104,104,265,196
1970-01-01 00:00:00.000000014,2002-12-31,44061,59298,1536,2204,6476,6591,167,10,280,486,0,16,9,84,68,117
