,name,ticker,equityType,sicSector,sicIndustry,ticker_classification
0,AAC HOLDINGS INC,AACH,Domestic Common Stock,Services,Services-Specialty Outpatient Facilities Nec,mid
1,AAR CORP,AIR,Domestic Common Stock,Manufacturing,Aircraft & Parts,mid
3,ADT CORP,ADT1,Domestic Common Stock,Services,Services-Detective Guard & Armored Car Services,mid
8,AFLAC INC,AFL,Domestic Common Stock Primary Class,Finance Insurance And Real Estate,Accident & Health Insurance,large
17,AMC NETWORKS INC,AMCX,Domestic Common Stock,Transportation Communications Electric Gas And Sanitary Service,Cable & Other Pay Television Services,mid
28,AOL INC,AOL,Domestic Common Stock,Services,Services-Computer Processing & Data Preparation,mid
35,AT&T INC,T,Domestic Common Stock Primary Class,Transportation Communications Electric Gas And Sanitary Service,Telephone Communications (No Radiotelephone),large
55,ABAXIS INC,ABAX,Domestic Common Stock,Manufacturing,Measuring & Controlling Devices Nec,mid
66,ABBOTT LABORATORIES,ABT,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
76,ABBVIE INC,ABBV,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,large
89,ABERCROMBIE & FITCH CO,ANF,Domestic Common Stock,Retail Trade,Retail-Family Clothing Stores,large
90,ABIOMED INC,ABMD,Domestic Common Stock,Manufacturing,Surgical & Medical Instruments & Apparatus,mid
101,ACADIA HEALTHCARE COMPANY INC,ACHC,Domestic Common Stock,Services,Services-Specialty Outpatient Facilities Nec,mid
113,ACADIA PHARMACEUTICALS INC,ACAD,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
131,ACCELERON PHARMA INC,XLRN,Domestic Common Stock,Manufacturing,Biological Products (No Disgnostic Substances),mid
132,ACHILLION PHARMACEUTICALS INC,ACHN,Domestic Common Stock,Manufacturing,Pharmaceutical Preparations,mid
133,ACI WORLDWIDE INC,ACIW,Domestic Common Stock,Services,Services-Prepackaged Software,mid
142,ACME PACKET INC,APKT,Domestic Common Stock,Manufacturing,Computer Communications Equipment,mid
146,ACORDA THERAPEUTICS INC,ACOR,Domestic Common Stock,Manufacturing,Biological Products (No Disgnostic Substances),mid
151,ACTIVISION BLIZZARD INC,ATVI,Domestic Common Stock,Services,Services-Prepackaged Software,large
